"X","CALVEG.Code","CALVEG.Description","CALVEG.Zone","CWHR.Type.Code","CWHR.Type.Description","CWHR.Lifeform.Code","CWHR.Lifeform.Description","GROWTH_FORM","CHAPorPINE","Raster_VALUE"
212,"PL","Limber Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
213,"PL","Limber Pine",10,"SCN","Subalpine Conifer","WHR_CON","Conifer forest/woodland","Tree",NA,30
214,"PM","Bishop Pine",10,"CPC","Closed-Cone Pine-Cypress","WHR_CON","Conifer forest/woodland","Tree",NA,9
215,"PM","Bishop Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
216,"PO","Port Orford Cedar",10,"KMC","Klamath Mixed Conifer","WHR_CON","Conifer forest/woodland",NA,NA,NA
217,"PO","Port Orford Cedar",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
218,"PP","Ponderosa Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
219,"PP","Ponderosa Pine",10,"PPN","Ponderosa Pine","WHR_CON","Conifer forest/woodland","Tree","Low Elevation Conifers",6
220,"PQ","Fourneedle Pinyon Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
221,"PQ","Fourneedle Pinyon Pine",10,"PJN","Pinyon-Juniper","WHR_CON","Conifer forest/woodland","Tree",NA,40
222,"PR","Monterey Pine",10,"CPC","Closed-Cone Pine-Cypress","WHR_CON","Conifer forest/woodland","Tree",NA,9
223,"PR","Monterey Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
224,"PS","Shore Pine",10,"CPC","Closed-Cone Pine-Cypress","WHR_CON","Conifer forest/woodland","Tree",NA,9
225,"PS","Shore Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
226,"PT","Torrey Pine",10,"CPC","Closed-Cone Pine-Cypress","WHR_CON","Conifer forest/woodland","Tree",NA,9
227,"PT","Torrey Pine",10,"MHC","Montane Hardwood-Conifer","WHR_MIX","Mixed conifer and hardwood forest/woodland","Tree",NA,14
